django.utils.autoreload INFO 2023-12-20 19:23:58,878 autoreload 9640 140194417188928 Watching for file changes with StatReloader
django.utils.autoreload DEBUG 2023-12-20 19:23:58,879 autoreload 9640 140194417188928 Waiting for apps ready_event.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,947 autoreload 9640 140194417188928 Apps ready_event triggered. Sending autoreload_started signal.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,959 autoreload 9640 140194417188928 Watching dir /home/fabrice/Desktop/DjangoMainProject/DjangoValidationApp/app1/templates with glob **/*.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,959 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/easyaudit/templates with glob **/*.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,960 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/health_check/templates with glob **/*.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,960 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/crispy_bootstrap5/templates with glob **/*.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,960 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/crispy_forms/templates with glob **/*.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,960 autoreload 9640 140194417188928 Watching dir /home/fabrice/Desktop/DjangoMainProject/DjangoValidationApp/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,960 autoreload 9640 140194417188928 Watching dir /home/fabrice/Desktop/DjangoMainProject/DjangoValidationApp/app1/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,961 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/crispy_forms/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,961 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/crispy_bootstrap5/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,961 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumber_field/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,961 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/health_check/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,962 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/health_check/db/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,962 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/health_check/cache/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,963 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/health_check/storage/locale with glob **/*.mo.
django.utils.autoreload DEBUG 2023-12-20 19:23:58,963 autoreload 9640 140194417188928 Watching dir /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/easyaudit/locale with glob **/*.mo.
django.db.backends DEBUG 2023-12-20 19:23:59,085 utils 9640 140194380908224 (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
django.db.backends DEBUG 2023-12-20 19:23:59,088 utils 9640 140194380908224 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
django.utils.autoreload DEBUG 2023-12-20 19:23:59,141 autoreload 9640 140194417188928 File /usr/lib/python3.11/lib-dynload/_lzma.cpython-311-x86_64-linux-gnu.so first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,141 autoreload 9640 140194417188928 File /usr/lib/python3.11/logging/handlers.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,141 autoreload 9640 140194417188928 File /usr/lib/python3.11/copy.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,142 autoreload 9640 140194417188928 File /usr/lib/python3.11/re/_parser.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,142 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/hashable.py first seen with mtime 1700301303.359716
